incident_id,url,date,num_identified_casualties,num_identified_killed
ispt0001,https://airwars.org/civilian-casualties/ispt0001-october-7-2023/,2023-10-07,3,1
ispt0005,https://airwars.org/civilian-casualties/ispt0005-october-7-2023/,2023-10-07,2,2
ispt0006,https://airwars.org/civilian-casualties/ispt0006-october-7-2023/,2023-10-07,2,2
ispt00012,https://airwars.org/civilian-casualties/ispt00012-october-7-2023/,2023-10-07,1,1
ispt00013,https://airwars.org/civilian-casualties/ispt00013-october-7-2023/,2023-10-07,1,0
ispt0004,https://airwars.org/civilian-casualties/ispt0004-october-7-2023/,2023-10-07,15,15
ispt0007,https://airwars.org/civilian-casualties/ispt0007-october-7-2023/,2023-10-07,0,0
ispt0008,https://airwars.org/civilian-casualties/ispt0008-october-7-2023/,2023-10-07,19,18
ispt0002,https://airwars.org/civilian-casualties/ispt0002-october-7-2023/,2023-10-07,11,7
ispt0003,https://airwars.org/civilian-casualties/ispt0003-october-7-2023/,2023-10-07,1,1
ispt0010,https://airwars.org/civilian-casualties/ispt0010-october-7-2023/,2023-10-07,6,6
ispt0011,https://airwars.org/civilian-casualties/ispt0011-october-7-2023/,2023-10-07,19,19
ispt0017,https://airwars.org/civilian-casualties/ispt0017-october-7-2023/,2023-10-07,27,27
ispt0018,https://airwars.org/civilian-casualties/ispt0018-october-7-2023/,2023-10-07,1,1
ispt0019,https://airwars.org/civilian-casualties/ispt0019-october-7-2023/,2023-10-07,1,1
ispt0019a,https://airwars.org/civilian-casualties/ispt0019a-october-7-2023/,2023-10-07,1,1
ispt0029,https://airwars.org/civilian-casualties/ispt0029-october-8-2023/,2023-10-08,2,0
ispt0020,https://airwars.org/civilian-casualties/ispt0020-october-8-2023/,2023-10-08,16,16
ispt0027,https://airwars.org/civilian-casualties/ispt0027-october-8-2023/,2023-10-08,10,10
ispt0022,https://airwars.org/civilian-casualties/ispt0022-october-8-2023/,2023-10-08,3,0
ispt0023,https://airwars.org/civilian-casualties/ispt0023-october-8-2023/,2023-10-08,0,0
ispt0024,https://airwars.org/civilian-casualties/ispt0024-october-8-2023/,2023-10-08,4,3
ispt0025,https://airwars.org/civilian-casualties/ispt0025-october-8-2023/,2023-10-08,0,0
ispt0035,https://airwars.org/civilian-casualties/ispt0035-october-8-2023/,2023-10-08,7,7
ispt0028,https://airwars.org/civilian-casualties/ispt0028-october-8-2023/,2023-10-08,4,4
ispt0034,https://airwars.org/civilian-casualties/ispt0034-october-8-2023/,2023-10-08,0,0
ispt0036,https://airwars.org/civilian-casualties/ispt0036-october-8-2023/,2023-10-08,6,6
ispt0041,https://airwars.org/civilian-casualties/ispt0041-october-8-2023/,2023-10-08,4,4
ispt0026,https://airwars.org/civilian-casualties/ispt0026-october-8-2023/,2023-10-08,1,1
ispt0031,https://airwars.org/civilian-casualties/ispt0031-october-8-2023/,2023-10-08,6,4
ispt0032,https://airwars.org/civilian-casualties/ispt0032-october-8-2023/,2023-10-08,22,22
ispt0044,https://airwars.org/civilian-casualties/ispt0044-october-9-2023/,2023-10-09,65,65
ispt0070,https://airwars.org/civilian-casualties/ispt0070-october-9-2023/,2023-10-09,1,0
ispt0097,https://airwars.org/civilian-casualties/ispt0097-october-9-2023/,2023-10-09,2,2
